trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1044,False,"{'a': 0.0026684944437887605, 'e': 2.774234446255859e-05}",20,2,26.641200107214054,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.002655151971569817, 'e': 2.7464921017933005e-05}",20,13,15.883712740263455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.002641876211711968, 'e': 2.7190271807753675e-05}",25,20,7.7002355590646525,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.002628666830653408, 'e': 2.6918369089676135e-05}",25,20,8.19697548199321,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.0026155234965001407, 'e': 2.6649185398779376e-05}",30,12,33.42525366908897,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.00260244587901764, 'e': 2.638269354479158e-05}",20,2,29.457909709690167,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.002589433649622552, 'e': 2.6118866609343666e-05}",20,4,30.725999340665663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.0025764864813744392, 'e': 2.5857677943250227e-05}",20,10,16.94485502631273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.002563604048967567, 'e': 2.5599101163817727e-05}",30,18,23.58370480898977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.0025507860287227293, 'e': 2.5343110152179547e-05}",20,1,31.951191622595665,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.0025380320985791153, 'e': 2.508967905065775e-05}",30,16,28.0870095276536,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1055,False,"{'a': 0.0025253419380862198, 'e': 2.4838782260151175e-05}",20,13,14.535513303148173,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.002512715228395789, 'e': 2.4590394437549663e-05}",30,7,36.58407073890716,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1057,False,"{'a': 0.00250015165225381, 'e': 2.4344490493174166e-05}",20,9,20.574243344161555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
